Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-02 16:32:34	 333 	c1254 	449 	 28 	 10101000 	 168 	 6354752 	 69	 72	 71	 115	 30	 134	 
2019-05-02 17:02:55	 127 	c1254 	450 	 32 	 10101000 	 168 	 10007872 	 70	 72	 71	 115	 30	 134	 
2019-05-02 22:36:02	 771 	c1254	356 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-03 07:06:02	 778 	c1254	161 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-03 10:18:05	 934 	c1254 	451 	 36 	 01010100 	 84 	 16306320 	 71	 72	 71	 115	 30	 134	 
2019-05-03 10:18:28	 683 	c1254 	454 	 48 	 01110100 	 116 	 16552176 	 71	 72	 72	 115	 30	 135	 
2019-05-03 10:21:06	 176 	c1254 	455 	 55 	 01111000 	 120 	 1475288 	 71	 72	 72	 116	 30	 135	 
2019-05-03 10:21:43	 653 	c1254 	456 	 63 	 01110100 	 116 	 1879064 	 71	 72	 73	 116	 30	 136	 
2019-05-03 10:21:46	 715 	c1254 	457 	 69 	 10110100 	 180 	 1912040 	 71	 73	 73	 116	 30	 136	 
2019-05-03 10:21:54	 991 	c1254 	459 	 79 	 10111000 	 184 	 2000984 	 71	 73	 73	 116	 31	 136	 
2019-05-03 10:27:19	  55 	c1254 	460 	 89 	 10110100 	 180 	 5499848 	 71	 74	 73	 116	 31	 137	 
2019-05-03 10:27:26	 544 	c1254 	462 	 98 	 11111000 	 248 	 5579984 	 72	 74	 73	 116	 31	 137	 
2019-05-03 10:29:35	 326 	c1254 	464 	 110 	 10110100 	 180 	 6970040 	 72	 75	 73	 116	 31	 138	 
2019-05-03 10:29:59	 277 	c1254 	465 	 120 	 01111000 	 120 	 7228568 	 72	 75	 73	 117	 31	 138	 
2019-05-03 10:31:03	1127 	c1254 	466 	 132 	 10110100 	 180 	 7927280 	 72	 76	 73	 117	 31	 139	 
2019-05-03 10:31:22	 373 	c1254 	467 	 140 	 01111000 	 120 	 8125256 	 72	 76	 73	 118	 31	 139	 
2019-05-03 10:31:59	 666 	c1254 	469 	 150 	 01110100 	 116 	 8527376 	 72	 76	 74	 118	 31	 140	 
2019-05-03 10:44:58	  90 	c1254 	471 	 159 	 01111000 	 120 	 150664 	 72	 76	 74	 119	 31	 140	 
2019-05-03 10:52:53	 526 	c1254 	472 	 166 	 11110100 	 244 	 5280280 	 73	 76	 74	 119	 31	 140	 
2019-05-03 10:52:56	1119 	c1254 	473 	 174 	 01110100 	 116 	 5318200 	 73	 76	 75	 119	 31	 141	 
2019-05-03 10:53:51	 245 	c1254 	474 	 181 	 10110100 	 180 	 5903464 	 73	 77	 75	 119	 31	 142	 
2019-05-03 10:53:59	1132 	c1254 	475 	 186 	 01111100 	 124 	 5998096 	 74	 77	 75	 119	 31	 142	 
2019-05-03 10:54:39	1132 	c1254 	476 	 192 	 10110100 	 180 	 6429736 	 74	 78	 75	 119	 31	 143	 
2019-05-03 10:55:01	1140 	c1254 	477 	 198 	 01111000 	 120 	 6667192 	 74	 78	 75	 120	 31	 143	 
2019-05-03 10:55:43	 595 	c1254 	478 	 204 	 01110100 	 116 	 7115344 	 74	 78	 76	 120	 31	 144	 
2019-05-03 10:55:50	 766 	c1254 	479 	 209 	 01111100 	 124 	 7192480 	 75	 78	 76	 120	 31	 144	 
2019-05-03 10:56:31	 352 	c1254 	480 	 216 	 01110100 	 116 	 7631176 	 75	 78	 77	 120	 31	 145	 
2019-05-03 10:56:43	 776 	c1254 	481 	 226 	 01111100 	 124 	 7764688 	 76	 78	 77	 120	 31	 145	 
2019-05-03 10:57:14	 602 	c1254 	482 	 232 	 01110100 	 116 	 8097664 	 76	 78	 78	 120	 31	 146	 
2019-05-03 10:57:24	 200 	c1254 	483 	 241 	 01110100 	 116 	 8201848 	 76	 78	 79	 120	 31	 146	 
2019-05-03 10:57:59	 732 	c1254 	484 	 248 	 01110100 	 116 	 8584600 	 76	 78	 80	 120	 31	 147	 
2019-05-03 10:58:07	 518 	c1254 	485 	 254 	 01111000 	 120 	 8668936 	 76	 78	 80	 121	 31	 147	 
2019-05-03 11:03:17	 593 	c1254 	486 	 4 	 10110100 	 180 	 12016000 	 76	 79	 80	 121	 31	 148	 
2019-05-03 11:03:48	 543 	c1254 	487 	 8 	 10101000 	 168 	 12350200 	 77	 79	 80	 121	 31	 148	 
2019-05-03 11:03:52	 407 	c1254 	489 	 16 	 10111000 	 184 	 12392104 	 77	 79	 80	 121	 32	 148	 
2019-05-03 11:04:10	 173 	c1254 	491 	 22 	 10101000 	 168 	 12584248 	 78	 79	 80	 121	 32	 148	 
2019-05-03 11:04:10	 810 	c1254 	492 	 26 	 10101000 	 168 	 12590224 	 79	 79	 80	 121	 32	 148	 
2019-05-03 11:04:19	 179 	c1254 	493 	 30 	 10101000 	 168 	 12681472 	 80	 79	 80	 121	 32	 148	 
2019-05-03 11:04:21	 186 	c1254 	494 	 34 	 10101000 	 168 	 12703144 	 81	 79	 80	 121	 32	 148	 
2019-05-03 11:05:11	  91 	c1254 	495 	 38 	 10101000 	 168 	 13242400 	 82	 79	 80	 121	 32	 148	 
2019-05-03 11:05:41	 754 	c1254 	496 	 42 	 10101000 	 168 	 13572928 	 83	 79	 80	 121	 32	 148	 
2019-05-03 11:05:54	 865 	c1254 	497 	 46 	 10101000 	 168 	 13714576 	 84	 79	 80	 121	 32	 148	 
2019-05-03 11:06:41	1014 	c1254 	498 	 50 	 10101000 	 168 	 14224504 	 85	 79	 80	 121	 32	 148	 
2019-05-03 11:06:45	 459 	c1254 	499 	 54 	 10101000 	 168 	 14262592 	 86	 79	 80	 121	 32	 148	 
2019-05-03 11:07:01	 717 	c1254 	500 	 58 	 10101000 	 168 	 14438200 	 87	 79	 80	 121	 32	 148	 
2019-05-03 11:07:21	 138 	c1254 	501 	 62 	 10101000 	 168 	 14649256 	 88	 79	 80	 121	 32	 148	 
2019-05-03 11:07:22	 672 	c1254 	502 	 66 	 10101000 	 168 	 14665096 	 89	 79	 80	 121	 32	 148	 
2019-05-03 11:08:55	 191 	c1254 	503 	 70 	 10101000 	 168 	 15668176 	 90	 79	 80	 121	 32	 148	 
2019-05-03 11:08:58	 607 	c1254 	504 	 74 	 10101000 	 168 	 15704608 	 91	 79	 80	 121	 32	 148	 
2019-05-03 11:09:20	 411 	c1254 	505 	 78 	 10101000 	 168 	 15941320 	 92	 79	 80	 121	 32	 148	 
2019-05-03 11:09:25	 855 	c1254 	506 	 82 	 10101000 	 168 	 15999712 	 93	 79	 80	 121	 32	 148	 
2019-05-03 11:09:43	 760 	c1254 	507 	 86 	 10101000 	 168 	 16194040 	 94	 79	 80	 121	 32	 148	 
2019-05-03 11:10:01	 902 	c1254 	508 	 90 	 10101000 	 168 	 16390648 	 95	 79	 80	 121	 32	 148	 
2019-05-03 11:10:02	 377 	c1254 	509 	 94 	 10101000 	 168 	 16396552 	 96	 79	 80	 121	 32	 148	 
2019-05-03 11:10:04	 348 	c1254 	513 	 104 	 10101000 	 168 	 16417984 	 97	 79	 80	 121	 32	 148	 
2019-05-03 11:10:05	1064 	c1254 	514 	 108 	 10101000 	 168 	 16435576 	 98	 79	 80	 121	 32	 148	 
2019-05-03 11:10:06	 510 	c1254 	515 	 112 	 10101000 	 168 	 16441216 	 99	 79	 80	 121	 32	 148	 
2019-05-03 11:10:06	1056 	c1254 	516 	 116 	 10101000 	 168 	 16446352 	 100	 79	 80	 121	 32	 148	 
2019-05-03 11:10:09	 504 	c1254 	517 	 120 	 10101000 	 168 	 16473712 	 101	 79	 80	 121	 32	 148	 
2019-05-03 11:10:11	1073 	c1254 	518 	 124 	 10101000 	 168 	 16500784 	 102	 79	 80	 121	 32	 148	 
2019-05-03 11:10:14	1053 	c1254 	519 	 128 	 10101000 	 168 	 16533160 	 103	 79	 80	 121	 32	 148	 
2019-05-03 11:10:15	 477 	c1254 	520 	 132 	 10101000 	 168 	 16538584 	 104	 79	 80	 121	 32	 148	 
2019-05-03 11:10:15	1047 	c1254 	521 	 136 	 10101000 	 168 	 16543960 	 105	 79	 80	 121	 32	 148	 
2019-05-03 11:10:17	 504 	c1254 	522 	 140 	 10101000 	 168 	 16560544 	 106	 79	 80	 121	 32	 148	 
